DateTime,Market1: Close,Market1: High,Market1: Low,Market1: Open,Market2: Close,Market2: High,Market2: Low,Market2: Open,Market2: Open_Interest,Market2: Volume,Market3: Close,Market3: High,Market3: Low,Market3: Open,Market3: Open_Interest,Market3: Volume
2018-11-01 0:00:00,245.15,246.95,242,245.45,5395,5453,5346,5441,315265,62543,39520,39960,39240,39710,919676,602624
2018-11-02 0:00:00,249.45,251.85,242.95,245.6,5495,5507,5365,5422.5,323116,57477,39210,39520,38890,39160,952018,647928
2018-11-03 0:00:00,249,251.95,246.35,247.6,5500,5548,5460.5,5468.5,324474,55946,39830,40370,39330,39580,932042,586236
2018-11-04 0:00:00,258.15,259.5,249.6,249.85,5690,5703,5513.5,5513.5,326824,82038,40440,40830,40050,40110,896212,543294
2018-11-05 0:00:00,259.1,261.85,255.55,258.45,5705,5755,5628,5680,321083,70148,41260,41980,40840,41150,869130,616042
2018-11-06 0:00:00,259.5,260.95,253.35,259.6,5720,5731,5568,5690,321799,63916,41190,41540,40930,41360,884396,573146
2018-11-07 0:00:00,258.55,261.5,256.65,259.6,5650,5744.5,5645.5,5705.5,324858,44869,41320,41710,40790,40870,849362,522050
2018-11-08 0:00:00,258.05,259.05,256,257.95,5673,5698,5629,5653,325028,34887,41310,41600,41040,41400,843484,442210
2018-11-09 0:00:00,255.15,258.85,252.55,258.05,5595,5692.5,5560.5,5673.5,331490,53953,41320,41530,41080,41280,840284,300508
2018-11-10 0:00:00,254.1,258.35,253.45,254.8,5600,5688,5581,5607.5,329174,48294,40870,41090,40660,40800,817470,216186
2018-11-11 0:00:00,260.2,262.2,253.6,254.1,5740,5754,5585,5602.5,334923,55161,40860,41060,40650,41040,819982,182414
2018-11-12 0:00:00,260.5,264.2,259.15,260.6,5735,5793.5,5702,5736.5,335299,43422,41590,42120,41070,41170,790632,295288
2018-11-13 0:00:00,,,,,5749,5765,5688,5728,332685,29306,41750,42080,41540,41800,768670,188022
2018-11-14 0:00:00,258.15,262.3,255,260.05,5649.5,5762,5621,5736.5,326712,43117,41930,42100,41770,41950,748916,132284
2018-11-15 0:00:00,261.45,263.8,256.5,258.15,5745,5791,5650,5691,334482,40996,,,,,,
2018-11-16 0:00:00,262,262.7,258.4,261.45,5750,5762,5669,5755,334375,31287,,,,,,
2018-11-17 0:00:00,259.45,262.25,257.55,261.85,5693,5754,5669,5751.5,331418,39387,,,,,,
2018-11-18 0:00:00,259.25,261.65,256.6,260.45,5672,5736,5633.5,5700,331805,30667,,,,,,
2018-11-19 0:00:00,264.8,267.7,257.1,259.3,5785,5846,5636,5678,332196,56305,,,,,,
2018-11-20 0:00:00,266.35,266.9,262.65,264.4,5775,5810,5740,5780,327068,45786,41920,42190,41780,42160,761246,103964
2018-11-21 0:00:00,271.4,273.25,265.6,266.1,5888,5944,5781,5783.5,326816,79538,42190,42610,41850,41940,785686,301590
2018-11-22 0:00:00,271.6,272.5,268.6,272.15,5895,5912,5828.5,5891.5,326484,45833,42690,42930,42450,42810,774578,417708
2018-11-23 0:00:00,271.1,274.4,270.1,273,5905.5,5960,5877,5919,328046,53367,42830,43280,42370,42600,760442,402994
2018-11-24 0:00:00,267.35,270.5,264.95,270.5,5822,5910,5785.5,5910,329181,48062,42800,43220,42430,42890,762324,403956
2018-11-25 0:00:00,267.7,268.8,265.8,267.2,5840,5877,5792,5835,331671,39555,42400,42560,42120,42480,767808,279060
2018-11-26 0:00:00,267.2,269.3,266.75,268.3,5835,5879,5812.5,5838.5,333312,32194,42420,42620,42140,42580,771270,313682
2018-11-27 0:00:00,262.9,267.2,262.4,266.7,5745,5830.5,5725,5824.5,335968,47404,42390,42720,42060,42420,775448,321600
2018-11-28 0:00:00,268.7,269,262.05,262.05,5872,5877,5714,5729,338244,62712,42000,42350,41670,42250,759610,455574
2018-11-29 0:00:00,263.5,268.55,261.8,268.55,5765,5855,5728.5,5854.5,336572,42237,42510,42760,42210,42320,772044,374268
2018-11-30 0:00:00,262.25,265.85,261.55,264.15,5730,5818.5,5710,5753,339387,42908,42100,42320,41910,42060,766898,309400
2018-12-01 0:00:00,267.45,269.5,261.6,262.9,5844,5884,5716,5718,346385,60767,42090,42610,41800,42040,755130,456438
2018-12-02 0:00:00,267.85,270,266.6,267.55,5858.5,5900,5811,5865,344226,39818,42690,43000,42400,42710,743896,415176
2018-12-03 0:00:00,267.75,269.2,266.95,267.7,5847.5,5893,5822,5843.5,346911,34240,42620,42850,42440,42700,747460,299488
2018-12-04 0:00:00,264.15,267.5,261.9,267.5,5785,5878,5740,5856,340828,66156,42670,43030,42300,42620,742014,212744
2018-12-05 0:00:00,258.7,265.4,257,263.15,5670,5811.5,5621.5,5790.5,359698,93111,42100,42460,41570,42050,773250,273746
2018-12-06 0:00:00,267.45,267.8,263,263.25,5853,5857,5690,5730,354292,84859,41540,41980,41080,41430,776692,291716
2018-12-07 0:00:00,277.5,278.5,270,270,6045,6082.5,5807,5842,358107,110350,42130,42520,41820,42060,783326,351498
2018-12-08 0:00:00,280.8,292.4,278.5,280.05,6120,6154,6045.5,6053.5,362033,71318,43300,44040,42400,42500,772942,571670
2018-12-09 0:00:00,281.5,288,280.5,288,6145,6203.5,6080.5,6175,365065,61595,43910,44690,43530,43650,785144,459758
2018-12-10 0:00:00,280.5,281,280,280.5,6125,6139,6080,6136.5,368318,42510,43670,43940,43390,43810,797540,413712
2018-12-11 0:00:00,282.15,285,281.5,285,6174,6294.5,6105,6115.5,370184,75838,43820,44000,43610,43700,796838,419412
2018-12-12 0:00:00,277.5,281.8,277.2,281.8,6055,6156.5,6046.5,6156.5,368896,66356,43870,44340,43360,44050,819752,560376
2018-12-13 0:00:00,278.15,279.25,274.8,276,6082,6124,6034,6046.5,370685,37038,43620,43990,43410,43690,818226,431488
